Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
32VbG_XgkZIuye0PV-BxaA,2022-10-10 21:00:34.323572,Zero Otto Nove,italian,4,511,15 W 21st St,10010,40.7407551035259,-73.9914887388588
vjj3MMPkULJUCv8xf3XRiA,2022-10-10 21:00:34.323586,San Matteo Takeaway,italian,4,164,1731 2nd Ave,10128,40.7801684,-73.9502899
vbGqzhH_exG5HOG1I23kvg,2022-10-10 21:00:34.323599,Park Side Restaurant,italian,4,850,107-01 Corona Ave,11368,40.743843,-73.856118
0axnkZlDiQcJVc06DDXxGQ,2022-10-10 21:00:34.323612,Ristorante Il Melograno,italian,4,364,501 W 51st St,10019,40.7654289685161,-73.9914178848267
rZ9OFoSqy8u4WECfh--ylg,2022-10-10 21:00:34.323626,Marta,italian,4,958,29 E 29th St,10016,40.7445882,-73.9847936
UVQ1GxmhlDVDM2acLexJ7A,2022-10-10 21:00:34.323638,Roberto's II Ristorante,italian,4,104,936 River Rd,07020,40.826943,-73.973692
vXYFa2qzppkGiOiVPrLwDQ,2022-10-10 21:00:34.323651,Don Peppe,italian,4,647,135-58 Lefferts Blvd,11420,40.6689814908178,-73.8216334221041
wV2YuZKjk5VhZz3I27xtsA,2022-10-10 21:00:34.323664,Monterey,italian,5,1,37 E 50th St,10022,40.75767029068569,-73.97455063884706
gkoAJruMnKVuoKVqorgFCA,2022-10-10 21:00:34.323678,TROVO NYC Thin Crust Pizza,italian,5,1,906 3rd Ave,10022,40.7589,-73.96875
yB4ziqFM_7V8JxJas7CHfA,2022-10-10 21:00:34.323692,Ulivo,italian,4,353,4 W 28th St,10001,40.7447371960713,-73.9880339428782
yQ7K4uFnxXxpBVbnOSR8kA,2022-10-10 21:00:34.323705,Polpette 71,italian,4,223,71 West 71st St,10023,40.77668,-73.97888
LdWyeeV8DuYINKVTghFwrg,2022-10-10 21:00:34.323717,Canaletto Restaurant,italian,4,74,208 E 60th St,10022,40.76174,-73.96569
yZJbealagfujEkgesAl2hA,2022-10-10 21:00:34.323730,Lupa,italian,4,1685,170 Thompson St,10012,40.7276,-74.000045
AUifp6IDKzmorCM6vY2fug,2022-10-10 21:00:34.323742,Pepe Giallo,italian,4,735,195 10th Ave,10011,40.7468940064083,-74.0049896784992
C3OlQ_y5LcgboyaKlpETYA,2022-10-10 21:00:34.323756,Trattoria Casa Di Isacco,italian,4,357,536 9th Ave,10018,40.75686,-73.99356
5pRxCYQppSq0czjFDN9X3Q,2022-10-10 21:00:34.323768,Campagnola Restaurant,italian,4,303,1382 1st Ave,10021,40.768817,-73.954833
Q1_UvNyONsaVS_VC1mD9Dw,2022-10-10 21:00:34.323781,Osteria Cotta,italian,4,1013,513 Columbus Ave,10024,40.78554,-73.97263
HiNUBUR1hFwScd_OvVLQAg,2022-10-10 21:00:34.323793,La Pecora Bianca,italian,4,921,1133 Broadway,10010,40.74358,-73.9892
aJJlY5xvqS180wtRIHEWqA,2022-10-10 21:00:34.323805,Cotenna,italian,4,449,21 Bedford St,10014,40.72903,-74.00357
lP4ynyBoeFPywLg78XkMmw,2022-10-10 21:00:34.323817,Cibo e Vino,italian,4,390,2418 Broadway,10024,40.790001374828734,-73.97485339555206
4ixWiPyYysS2i8LAg4qzrQ,2022-10-10 21:00:34.323831,La Villetta,italian,4,101,398 E 52nd St,10022,40.7549171,-73.9650879
goqTQ4tOD-asC_ZJBW9l7w,2022-10-10 21:00:34.323844,Patsy's Italian Restaurant,italian,4,1045,236 W 56th St,10019,40.76553,-73.98274
o2SAcKbfOMkA71xUfyee6Q,2022-10-10 21:00:34.323856,Rossini's,italian,4,251,108 E 38th St,10016,40.74921,-73.97883
d5ya04K-2A_hI3Xzqe1HeA,2022-10-10 21:00:34.323869,Caffe Buon Gusto,italian,4,634,236 E 77th St,10075,40.77249,-73.95713
tJxAlyeT5PRbUIyJ2wsv-A,2022-10-10 21:00:34.323881,Bamonte's,italian,4,405,32 Withers St,11211,40.71666591260819,-73.95125357171182
a0IET3_yCFcO36OqGSsisg,2022-10-10 21:00:34.323894,Eataly NYC Flatiron,italian,4,5937,200 5th Ave,10010,40.74200824886595,-73.98993910744127
pk89jzL1RsE9U0thf_z6tw,2022-10-10 21:00:34.323908,Locanda Verde,italian,4,1786,377 Greenwich St,10013,40.7198601300801,-74.010039072422
Vs8kQ4R381y27AH018gLpg,2022-10-10 21:00:34.323922,Supper,italian,4,1437,156 E 2nd St,10009,40.72290786539601,-73.98520720537888
